year,month,day,hour,half,equsid
2018,1,15,14,1,"{2, 3, 4}"
2018,1,15,15,0,"{2, 3, 4}"
2018,1,15,15,0,"{2, 3, 4}"
2018,1,15,15,0,"{2, 3, 4}"
2018,1,15,15,1,"{2, 3, 4}"
2018,1,15,15,1,"{2, 3, 4}"
2018,1,15,15,1,"{2, 3, 4}"
2018,1,15,16,0,"{2, 3, 4}"
2018,1,15,16,0,"{2, 3, 4}"
2018,1,15,16,0,"{2, 3, 4}"
2018,1,15,16,1,"{2, 3, 4}"
2018,1,15,16,1,"{2, 3, 4}"
2018,1,15,16,1,"{2, 3, 4}"
2018,1,15,17,0,"{2, 3, 4}"
2018,1,15,17,0,"{2, 3, 4}"
2018,1,15,17,0,"{2, 3, 4}"
2018,1,15,17,1,"{2, 3, 4}"
2018,1,15,17,1,"{2, 3, 4}"
2018,1,15,17,1,"{2, 3, 4}"
2018,1,15,18,0,"{2, 3, 4}"
2018,1,15,18,0,"{2, 3, 4}"
2018,1,15,18,0,"{2, 3, 4}"
2018,1,15,18,1,"{2, 3, 4}"
2018,1,15,18,1,"{2, 3, 4}"
2018,1,15,18,1,"{2, 3, 4}"
2018,1,15,19,0,"{2, 3, 4}"
2018,1,15,19,0,"{2, 3, 4}"
2018,1,15,19,0,"{2, 3, 4}"
2018,1,15,19,1,"{2, 3, 4}"
2018,1,15,19,1,"{2, 3, 4}"
2018,1,15,19,1,"{2, 3, 4}"
2018,1,15,20,0,"{2, 3, 4}"
2018,1,15,20,0,"{2, 3, 4}"
2018,1,15,20,0,"{2, 3, 4}"
2018,1,15,20,1,"{2, 3, 4}"
2018,1,15,20,1,"{2, 3, 4}"
2018,1,15,20,1,"{2, 3, 4}"
2018,1,15,21,0,"{2, 3, 4}"
2018,1,15,21,0,"{2, 3, 4}"
2018,1,15,21,0,"{2, 3, 4}"
2018,1,15,21,1,"{2, 3, 4}"
2018,1,15,21,1,"{2, 3, 4}"
2018,1,15,21,1,"{2, 3, 4}"
2018,1,15,22,0,"{2, 3, 4}"
2018,1,15,22,0,"{2, 3, 4}"
2018,1,15,22,0,"{2, 3, 4}"
2018,1,15,22,1,"{2, 3, 4}"
2018,1,15,22,1,"{2, 3, 4}"
2018,1,15,22,1,"{2, 3, 4}"
2018,1,15,23,0,"{2, 3, 4}"
2018,1,15,23,0,"{2, 3, 4}"
2018,1,15,23,0,"{2, 3, 4}"
2018,1,15,23,1,"{2, 3, 4}"
2018,1,15,23,1,"{2, 3, 4}"
2018,1,15,23,1,"{2, 3, 4}"
2018,1,16,0,0,"{2, 3, 4}"
2018,1,16,0,0,"{2, 3, 4}"
2018,1,16,0,0,"{2, 3, 4}"
2018,1,16,0,1,"{2, 3, 4}"
2018,1,16,0,1,"{2, 3, 4}"
2018,1,16,0,1,"{2, 3, 4}"
2018,1,16,1,0,"{2, 3, 4}"
2018,1,16,1,0,"{2, 3, 4}"
2018,1,16,1,0,"{2, 3, 4}"
2018,1,16,1,1,"{2, 3, 4}"
2018,1,16,1,1,"{2, 3, 4}"
2018,1,16,1,1,"{2, 3, 4}"
2018,1,16,2,0,"{2, 3, 4}"
2018,1,16,2,0,"{2, 3, 4}"
2018,1,16,2,0,"{2, 3, 4}"
2018,1,16,2,1,"{2, 3, 4}"
2018,1,16,2,1,"{2, 3, 4}"
2018,1,16,2,1,"{2, 3, 4}"
2018,1,16,3,0,"{2, 3, 4}"
2018,1,16,3,0,"{2, 3, 4}"
2018,1,16,3,0,"{2, 3, 4}"
2018,1,16,3,1,"{2, 3, 4}"
2018,1,16,3,1,"{2, 3, 4}"
2018,1,16,3,1,"{2, 3, 4}"
2018,1,16,4,0,"{2, 3, 4}"
2018,1,16,4,0,"{2, 3, 4}"
2018,1,16,4,0,"{2, 3, 4}"
2018,1,16,4,1,"{2, 3, 4}"
2018,1,16,4,1,"{2, 3, 4}"
2018,1,16,4,1,"{2, 3, 4}"
2018,1,16,5,0,"{2, 3, 4}"
2018,1,16,5,0,"{2, 3, 4}"
2018,1,16,5,0,"{2, 3, 4}"
2018,1,16,5,1,"{2, 3, 4}"
2018,1,16,5,1,"{2, 3, 4}"
2018,1,16,5,1,"{2, 3, 4}"
2018,1,16,6,0,"{2, 3, 4}"
2018,1,16,6,0,"{2, 3, 4}"
2018,1,16,6,0,"{2, 3, 4}"
2018,1,16,6,1,"{2, 3, 4}"
2018,1,16,6,1,"{2, 3, 4}"
2018,1,16,6,1,"{2, 3, 4}"
2018,1,16,7,0,"{2, 3, 4}"
2018,1,16,7,0,"{2, 3, 4}"
2018,1,16,7,0,"{2, 3, 4}"
2018,1,16,7,1,"{2, 3, 4}"
2018,1,16,7,1,"{2, 3, 4}"
2018,1,16,7,1,"{2, 3, 4}"
2018,1,16,8,0,"{2, 3, 4}"
2018,1,16,8,0,"{2, 3, 4}"
2018,1,16,8,0,"{2, 3, 4}"
2018,1,16,8,1,"{2, 3, 4}"
2018,1,16,8,1,"{2, 3, 4}"
2018,1,16,8,1,"{2, 3, 4}"
2018,1,16,9,0,"{2, 3, 4}"
2018,1,16,9,0,"{2, 3, 4}"
2018,1,16,9,0,"{2, 3, 4}"
2018,1,16,9,1,"{2, 3, 4}"
2018,1,16,9,1,"{2, 3, 4}"
2018,1,16,9,1,"{2, 3, 4}"
2018,1,16,10,0,"{2, 3, 4}"
2018,1,16,10,0,"{2, 3, 4}"
2018,1,16,10,0,"{2, 3, 4}"
2018,1,16,10,1,"{2, 3, 4}"
2018,1,16,10,1,"{2, 3, 4}"
2018,1,16,10,1,"{2, 3, 4}"
2018,1,16,11,0,"{2, 3, 4}"
2018,1,16,11,0,"{2, 3, 4}"
2018,1,16,11,0,"{2, 3, 4}"
2018,1,16,11,1,"{2, 3, 4}"
2018,1,16,11,1,"{2, 3, 4}"
2018,1,16,11,1,"{2, 3, 4}"
2018,1,16,12,0,"{2, 3, 4}"
2018,1,16,12,0,"{2, 3, 4}"
2018,1,16,12,0,"{2, 3, 4}"
2018,1,16,12,1,"{2, 3, 4}"
2018,1,16,12,1,"{2, 3, 4}"
2018,1,16,12,1,"{2, 3, 4}"
2018,1,16,13,0,"{2, 3, 4}"
2018,1,16,13,0,"{2, 3, 4}"
2018,1,16,13,0,"{2, 3, 4}"
