Year,Month,Day,Value,Value1,Value2,Value3,dayOfWeek,isWorkday,isHoliday,Season,RRR,File
2016,9,26,10758.1,832,199,9727.1,1,1,0,3,27.1,201609.txt
2016,9,27,30194.104,16207.104,814,13173,2,1,0,3,0,201609.txt
2016,9,28,17428.86,5704.96,1063,10660.9,3,1,0,3,0,201609.txt
2016,9,29,11689.672,35.072,910,10744.6,4,1,0,3,0,201609.txt
2016,9,30,3593.7,588.8,810,2194.9,5,1,0,3,0,201609.txt
2016,10,1,3172.668,442.368,660,2070.3,6,0,1,3,0,201610.txt
2016,10,2,4346.064,1188.864,590,2567.2,7,0,1,3,0,201610.txt
2016,10,3,7759.872,2857.472,740,4162.4,1,1,1,3,0,201610.txt
2016,10,4,20362.932,11288.832,114,8960.1,2,1,1,3,6,201610.txt
2016,10,5,2963.96,437.76,676,1850.2,3,1,1,3,0,201610.txt
2016,10,6,6267.208,2993.408,267,3006.8,4,1,1,3,12,201610.txt
2016,10,7,9836.592,3988.992,119,5728.6,5,1,1,3,26,201610.txt
2016,10,8,31512.104,16117.504,991,14403.6,6,0,0,3,0,201610.txt
2016,10,9,8778.296,1060.096,655,7063.2,7,0,0,3,0,201610.txt
2016,10,10,8296.976,120.576,751,7425.4,1,1,0,3,0,201610.txt
2016,10,11,11381.424,4410.624,724,6246.8,2,1,0,3,0,201610.txt
2016,10,12,12633.908,62.208,136,12435.7,3,1,0,3,0,201610.txt
2016,10,13,10097.328,67.328,0,10030,4,1,0,3,0,201610.txt
2016,10,14,12278.204,1077.504,0,11200.7,5,1,0,3,0,201610.txt
2016,10,15,4985.332,549.632,0,4435.7,6,0,0,3,0,201610.txt
2016,10,16,7825.604,309.504,0,7516.1,7,0,0,3,0.6,201610.txt
2016,10,17,11836.9,2752,0,9084.9,1,1,0,3,0,201610.txt
2016,10,18,10329.696,10.496,0,10319.2,2,1,0,3,0,201610.txt
2016,10,19,10707.7,0,0,10707.7,3,1,0,3,0,201610.txt
2016,10,20,20999.704,8463.104,18,12518.6,4,1,0,3,4,201610.txt
2016,10,21,11140.024,116.224,3,11020.8,5,1,0,3,7.2,201610.txt
2016,10,22,10043.168,3776.768,0,6266.4,6,0,0,3,2,201610.txt
2016,10,23,4567.2,0,0,4567.2,7,0,0,3,0,201610.txt
2016,10,24,11520.8,0,0,11520.8,1,1,0,3,0.1,201610.txt
2016,10,25,11554.932,1464.832,0,10090.1,2,1,0,3,0,201610.txt
2016,10,26,14892.604,4770.304,0,10122.3,3,1,0,3,0,201610.txt
2016,10,27,11194.464,2264.064,0,8930.4,4,1,0,3,14,201610.txt
2016,10,28,23185.864,12459.264,796,9930.6,5,1,0,3,1.4,201610.txt
2016,10,29,14857.936,6804.736,527,7526.2,6,0,0,3,0,201610.txt
2016,10,30,28328.932,14136.832,0,14192.1,7,0,0,3,0,201610.txt
2016,10,31,33268.708,17438.208,0,15830.5,1,1,0,3,0,201610.txt
2016,11,1,11266.632,2309.632,0,8957,2,1,0,3,0,201611.txt
2016,11,2,14763.5,2534.4,0,12229.1,3,1,0,3,0,201611.txt
2016,11,3,12525.032,357.632,0,12167.4,4,1,0,3,0,201611.txt
2016,11,4,12669.4,0,0,12669.4,5,1,0,3,0,201611.txt
2016,11,5,11317.596,2026.496,0,9291.1,6,0,0,3,0,201611.txt
2016,11,6,5144.168,275.968,0,4868.2,7,0,0,3,0,201611.txt
2016,11,7,20965.496,10896.896,0,10068.6,1,1,0,3,0.4,201611.txt
2016,11,8,12924.844,1247.744,643,11034.1,2,1,0,3,0,201611.txt
2016,11,9,12192.96,776.96,273,11143,3,1,0,3,0,201611.txt
2016,11,10,10867.132,1074.432,317,9475.7,4,1,0,3,0.6,201611.txt
2016,11,11,11338.24,1251.84,376,9710.4,5,1,0,3,0,201611.txt
2016,11,12,9627.768,1581.568,511,7535.2,6,0,0,3,0,201611.txt
2016,11,13,6829.224,33.024,0,6796.2,7,0,0,3,0,201611.txt
2016,11,14,37350.172,20003.072,496,16851.1,1,1,0,3,0,201611.txt
2016,11,15,10895.704,149.504,70,10676.2,2,1,0,3,0,201611.txt
2016,11,16,10552,0,0,10552,3,1,0,3,0,201611.txt
2016,11,17,11092.532,607.232,0,10485.3,4,1,0,3,0,201611.txt
2016,11,18,11133.1,0,0,11133.1,5,1,0,3,0,201611.txt
2016,11,19,8972.4,0,16,8956.4,6,0,0,3,0.4,201611.txt
2016,11,20,5391.1,0,0,5391.1,7,0,0,3,0.4,201611.txt
2016,11,21,43157.292,22740.992,16,20400.3,1,1,0,3,7.4,201611.txt
2016,11,22,40048.708,17361.408,124,22563.3,2,1,0,3,0,201611.txt
2016,11,23,12635,0,0,12635,3,1,0,3,0,201611.txt
2016,11,24,11142.724,1.024,0,11141.7,4,1,0,3,0,201611.txt
2016,11,25,11412.2,0,265,11147.2,5,1,0,3,0,201611.txt
2016,11,26,7052.168,0.768,293,6758.4,6,0,0,3,0,201611.txt
2016,11,27,8838.7,0,486,8352.7,7,0,0,3,0,201611.txt
2016,11,28,10144.568,0.768,375,9768.8,1,1,0,3,0,201611.txt
2016,11,29,11964.8,0,0,11964.8,2,1,0,3,0,201611.txt
2016,11,30,12666.7,0,0,12666.7,3,1,0,3,0,201611.txt
2016,12,1,9613.768,0.768,86,9527,4,1,0,4,0,201612.txt
2016,12,2,10892.4,0,22,10870.4,5,1,0,4,0,201612.txt
2016,12,3,5857.368,0.768,20,5836.6,6,0,0,4,0,201612.txt
2016,12,4,4879.2,0,0,4879.2,7,0,0,4,0,201612.txt
2016,12,5,15794.368,0.768,0,15793.6,1,1,0,4,0,201612.txt
2016,12,6,10400.2,0,253,10147.2,2,1,0,4,0,201612.txt
2016,12,7,8760.768,0.768,67,8693,3,1,0,4,0,201612.txt
2016,12,8,16655.4,0,16,16639.4,4,1,0,4,0,201612.txt
2016,12,9,371909.996,361488.896,0,10421.1,5,1,0,4,0,201612.txt
2016,12,10,7349,0,63,7286,6,0,0,4,0,201612.txt
2016,12,11,5408.3,0,0,5408.3,7,0,0,4,0,201612.txt
